,matchId,gameId,gameMode,gameVersion,championName,championId,teamPosition,win,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,takedowns,goldPerMinute,damagePerMinute,baronTakedowns,dragonTakedowns,turretTakedowns.1,gameLength,killParticipation,visionScorePerMinute,jungleCsBefore10Minutes,enemyJungleMonsterKills,controlWardsPlaced,wardTakedowns,kda,teamDamagePercentage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,primaryStyle,subStyle
648,KR_6951409446,6951409446,CLASSIC,14.3.558.8314,Mordekaiser,82,TOP,False,0,6,2,0,0,17019,17,0,0,1,4559,5777,4559,47905,0,14,0,0,0,True,11,1,False,False,False,False,False,False,1,12366,12350,0,TOP,0,0,3,6653,3116,3047,4633,1026,1052,3340,25,1,6,TOP,0,2,1,452,113253,17381,22401,0,0,0,1,0,0,0,0,1,0,18581,2666,25756,6298,0,0,SOLO,0,120,41,64,8,6,12,5,4,213,False,14,2194,139323,20173,0,49463,4062,0,167,337,529,1,0,7488,124,1305,1,2,10,0,0,19,0,1,11,8.0,338.17199918731774,551.6469016091677,0.0,0.0,2.0,2194.1459738,0.1818181818181818,0.5230889253393285,0.0,0.0,0.0,1.0,0.5714285714285714,0.1375904375209808,0.0,1.0,"8010, 9111, 9105, 8299","8453, 8473"
649,KR_6991228988,6991228988,CLASSIC,14.5.565.1230,Kaisa,145,BOTTOM,True,0,1,5,0,0,12688,14,0,10,2,4894,14218,4894,6951,0,2,1,1,0,True,15,1,False,False,False,False,False,True,6,12459,11175,0,BOTTOM,0,0,0,3115,3006,0,3124,3145,3087,3363,18,2,8,BOTTOM,335,5,2,860,53426,10002,1744,0,4,0,0,0,0,0,15,9,0,103718,9090,12143,5769,0,0,CARRY,0,65,33,58,5,4,6,3,4,386,False,0,1576,157633,19119,0,14030,4156,0,222,16,65,1,0,488,26,142,2,3,4,0,0,22,1,4,9,13.0,474.2684153312758,727.7415935095297,1.0,1.0,3.0,1576.308841,0.5652173913043478,0.8385333716076467,0.0,1.0,1.0,4.0,6.5,0.2922208813100097,29.24999997019768,2.0,"9923, 8139, 8138, 8135","8304, 8345"
650,KR_6999639225,6999639225,CLASSIC,14.6.569.5139,Lux,99,UTILITY,True,0,1,17,0,0,13648,15,0,7,5,4316,5734,4316,6358,0,4,2,0,0,True,8,0,True,False,False,False,False,True,0,11261,8725,0,UTILITY,0,1,0,2055,6655,3871,3916,3020,4645,3364,21,1,5,BOTTOM,0,3,1,593,77395,17934,3395,0,0,0,0,0,0,0,16,10,0,7339,720,7910,6025,0,0,SUPPORT,0,56,54,152,14,4,14,4,4,382,False,38,1815,87042,19135,3416,11723,289,0,88,324,85,1,0,2306,480,417,2,6,3,0,0,93,3,11,36,22.0,372.1515451101495,632.3767929252599,1.0,0.0,6.0,1815.6245469,0.5641025641025641,3.094534123297447,0.0,0.0,2.0,11.0,5.5,0.1723083593055969,64.0,2.0,"8229, 8226, 8210, 8237","8345, 8347"
651,KR_6912184044,6912184044,CLASSIC,14.1.553.2414,Ekko,245,JUNGLE,False,0,3,11,0,0,10455,13,0,1,1,0,22337,0,18867,0,6,0,0,2,True,17,0,False,False,False,False,False,True,0,9228,7800,0,JUNGLE,0,0,2,3145,4646,3152,3020,0,0,3363,14,0,2,JUNGLE,0,0,1,254,114746,10082,4062,0,103,0,0,0,0,0,5,7,0,24764,1335,23055,4027,0,0,NONE,0,99,35,48,7,18,11,4,4,224,False,16,1475,180584,12382,0,28272,14582,0,41,390,91,1,0,41074,965,1154,0,0,10,0,0,16,0,1,9,13.0,375.3398299808491,503.6309668051849,0.0,2.0,0.0,1475.2212599,0.6190476190476191,0.6556728549050209,52.00000008940697,8.0,0.0,1.0,2.1666666666666665,0.1691488402226798,29.000000059604645,2.0,"8369, 8304, 8321, 8347","8138, 8135"
652,KR_6973365635,6973365635,CLASSIC,14.4.562.8237,Sett,875,TOP,True,0,4,5,0,0,16466,16,0,4,3,8833,8985,8833,48359,0,5,0,0,0,True,3,6,False,True,False,False,False,False,0,13552,12450,0,TOP,1,2,0,6631,3153,3047,6610,1028,1036,3364,22,2,8,TOP,420,3,1,874,401,11,19431,3,4,1,0,1,0,0,9,6,0,156023,22891,27732,4882,0,0,SOLO,0,74,28,17,7,4,4,4,14,45,False,30,1870,173877,29588,0,51020,19459,0,205,191,227,1,0,17451,6685,3857,3,3,2,0,0,8,0,0,4,13.0,434.7687884107522,949.2518549215042,0.0,0.0,3.0,1870.2494646,0.3170731707317073,0.2681721829221486,0.0,1.0,0.0,0.0,2.6,0.2162463913076811,15.0,1.0,"8008, 9111, 9104, 8299","8242, 8444"
653,KR_6917979864,6917979864,CLASSIC,14.2.555.1545,Pyke,555,UTILITY,False,1,0,5,0,0,5357,9,0,7,3,0,0,0,5444,0,6,0,0,0,True,3,0,True,False,False,False,False,True,2,5304,4675,0,UTILITY,0,0,0,3866,2031,3179,2055,1036,3117,3364,14,1,2,NONE,0,2,1,452,0,0,8070,0,0,0,0,0,0,0,2,5,0,7127,3619,4440,6446,0,0,SUPPORT,0,26,19,19,3,4,14,2,4,72,False,12,1030,9557,4120,0,13014,2613,0,16,38,90,1,0,2430,500,503,0,0,5,0,0,10,1,3,4,7.0,308.9585486604582,239.95114038000904,0.0,0.0,0.0,1030.2350056,0.4666666666666667,0.5957256618503992,0.0,0.0,0.0,3.0,1.1666666666666667,0.1176964535219448,0.0,2.0,"8112, 8143, 8138, 8106","8014, 9111"
654,KR_6906672779,6906672779,CLASSIC,14.1.553.2414,Nautilus,111,UTILITY,True,0,0,7,0,0,4129,8,0,5,7,479,479,479,6333,0,2,2,0,0,True,1,0,True,False,False,False,False,True,1,5131,4600,0,UTILITY,0,0,0,3866,2031,2055,0,3002,3111,3364,16,1,3,NONE,0,2,1,298,5311,2256,2295,0,0,0,0,0,0,0,0,10,0,4772,2702,3981,6267,0,0,SUPPORT,0,13,15,11,2,4,14,2,4,152,False,30,799,12180,5328,0,6473,0,0,7,188,16,0,0,2096,368,196,0,0,0,0,0,13,4,0,7,10.0,384.8643435466895,399.61262119235874,0.0,0.0,0.0,800.0311843,0.625,1.041642188106792,0.0,0.0,2.0,0.0,5.0,0.1755674807306691,0.0,1.0,"8351, 8306, 8345, 8347","8473, 8242"
655,KR_6918635359,6918635359,CLASSIC,14.2.555.1545,Rell,526,JUNGLE,False,0,2,8,0,0,9094,12,0,7,3,361,5706,361,43822,0,8,2,0,0,True,2,0,False,False,False,False,False,True,3,7851,7450,0,JUNGLE,0,0,1,3075,3110,3047,1057,0,0,3364,17,0,3,JUNGLE,4,0,1,462,55918,6020,8473,0,90,0,0,0,0,0,8,7,0,18651,1993,12416,5413,0,0,NONE,0,98,64,59,7,17,11,4,4,169,False,34,1636,116998,8507,0,22008,5576,0,10,1100,176,1,0,42428,492,1118,0,1,7,0,0,29,2,4,3,11.0,287.9011800824178,311.9343813138611,0.0,0.0,1.0,1636.3154479,0.8461538461538461,1.0985315210507285,42.00000002980232,0.0,2.0,4.0,1.375,0.1274614744583445,4.000000029802322,1.0,"8439, 8401, 8473, 8242","8304, 8347"
656,KR_6907004042,6907004042,CLASSIC,14.1.553.2414,Blitzcrank,53,UTILITY,False,0,2,2,0,0,6395,10,0,4,2,0,57,0,4971,0,2,0,0,0,True,28,1,False,False,False,False,False,True,6,6039,5500,0,UTILITY,0,0,1,3877,3118,3020,3802,0,0,3364,14,1,4,NONE,0,2,1,824,12484,7187,1769,0,0,0,0,0,0,0,12,10,0,2957,1492,4879,29,0,0,SUPPORT,0,27,14,16,7,3,14,3,4,72,False,25,1171,17249,9307,0,6852,0,0,15,73,42,0,0,1807,627,203,0,0,6,0,0,13,0,0,8,6.0,309.2145325901246,476.522883223944,0.0,1.0,0.0,1171.8660651,0.4285714285714285,0.6726194349925309,0.0,0.0,0.0,0.0,3.0,0.203162903312967,0.0,0.0,"8112, 8126, 8138, 8106","8233, 8232"
657,KR_6981990781,6981990781,CLASSIC,14.5.565.1230,Poppy,78,TOP,True,0,0,4,0,0,12180,14,0,0,0,2953,4350,2953,37897,0,6,0,0,0,True,2,0,False,False,False,False,False,False,0,8380,8100,0,TOP,0,1,0,3068,2033,3047,6662,1057,0,3340,16,1,2,JUNGLE,0,2,1,725,20164,4236,6634,0,0,0,0,0,0,0,0,1,0,54819,12448,16491,3150,0,0,NONE,0,78,30,26,7,3,12,3,4,209,False,26,1513,75830,16685,0,23460,2424,0,137,373,187,1,0,846,0,334,1,1,0,0,0,13,0,0,8,6.0,332.31342180163284,661.6088399410446,0.0,0.0,1.0,1513.1458403,0.1875,0.540391628775668,0.0,0.0,0.0,0.0,1.0,0.1695306059423429,33.0,2.0,"8437, 8401, 8473, 8453","8345, 8352"
658,KR_7035701236,7035701236,CLASSIC,14.8.576.8838,Kindred,203,JUNGLE,False,0,0,0,0,0,0,1,0,1,1,0,0,0,84,0,0,0,0,0,False,0,0,False,False,False,False,True,False,0,500,500,0,JUNGLE,0,0,0,1101,2003,0,0,0,0,3340,3,0,0,NONE,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,2,0,433,0,291,5965,0,0,SUPPORT,0,0,1,0,0,1,11,1,4,386,True,0,104,1539,0,0,291,148,0,0,0,0,1,0,787,0,0,0,0,0,0,0,1,0,0,1,0.0,286.35730786713253,0.0,0.0,0.0,0.0,104.76422,,0.9002639013885297,0.0,0.0,0.0,0.0,0.0,0.0,,,"8005, 9111, 9104, 8014","8143, 8135"
659,KR_6999854719,6999854719,CLASSIC,14.6.569.5139,Akali,84,MIDDLE,False,0,1,15,0,0,17143,17,0,3,1,1779,5810,1779,17039,0,9,0,1,0,True,43,0,False,False,False,False,False,True,6,13334,11450,0,MIDDLE,0,0,2,3152,3020,4646,3100,1054,3145,3364,21,2,7,MIDDLE,0,3,2,568,119647,21252,5038,1,0,0,0,0,0,0,8,8,0,16351,1241,27172,1588,0,0,SOLO,0,167,29,69,18,4,4,2,14,109,False,4,2315,148456,23049,0,34501,2045,0,166,90,309,1,0,12457,556,2290,0,0,9,0,0,22,0,4,10,22.0,345.5941762487339,597.3896229424672,0.0,2.0,0.0,2315.0641715,0.5365853658536586,0.574648769631739,0.0,0.0,0.0,4.0,2.4444444444444446,0.1841651744497169,25.0,1.0,"8010, 8009, 9105, 8014","8451, 8444"
